,ACCOUNT,SITE_ADDR_1_2019,SITE_ADDR_3_2019
0,21750000003,2202 CAROLINE ST,77002
1,21750000013,2218 CAROLINE ST,77002
2,21750000018,2204 CAROLINE ST,77002
3,21750000019,2206 CAROLINE ST,77002
4,41320000003,105 STRATFORD ST,77006
5,41320000004,109 STRATFORD ST,77006
6,41320000007,2925 HELENA ST,77006
7,41330000001,2926 HELENA ST,77006
8,41330000003,205 STRATFORD ST,77006
9,41330000004,207 STRATFORD ST,77006
10,41330000008,215 STRATFORD ST,77006
11,41330000009,217 STRATFORD ST,77006
12,41330000012,209 STRATFORD ST A,77006
13,41330000013,209 STRATFORD ST B,77006
14,41330000014,209 STRATFORD ST C,77006
15,41340000001,2604 MASON ST,77006
16,41340000007,2616 MASON ST,77006
17,41340000008,2612 MASON ST,77006
18,41340000009,2608 MASON ST,77006
19,41350000001,2700 MASON ST,77006
20,41350000002,302 STRATFORD ST,77006
21,41350000006,310 STRATFORD ST,77006
22,41350000007,309 AVONDALE ST,77006
23,41350000011,2711 TAFT ST,77006
24,41360000001,200 STRATFORD ST,77006
25,41360000002,202 STRATFORD ST,77006
27,41360000004,206 STRATFORD ST,77006
28,41360000005,210 STRATFORD ST B,77006
29,41360000006,212 STRATFORD ST,77006
30,41360000013,217 AVONDALE ST,77006
31,41360000018,210 STRATFORD ST A,77006
32,41360000019,210 STRATFORD ST,77006
33,41360010001,201 AVONDALE ST,77006
34,41360010002,201 AVONDALE ST,77006
35,41360010003,201 AVONDALE ST,77006
36,41360010004,201 AVONDALE ST E,77006
37,41360010005,201 AVONDALE ST,77006
38,41360010006,201 AVONDALE ST,77006
39,41360010007,201 AVONDALE ST B,77006
40,41360010008,201 AVONDALE ST,77006
41,41360010009,3012 HELENA ST,77006
42,41360010010,3010 HELENA ST,77006
43,41360070001,218 STRATFORD ST 1,77006
44,41360070002,218 STRATFORD ST 2,77006
45,41360070003,218 STRATFORD ST 3,77006
46,41360070004,218 STRATFORD ST 4,77006
47,41360070005,218 STRATFORD ST 5,77006
48,41360070006,216 STRATFORD ST 5,77006
49,41360070007,216 STRATFORD ST 4,77006
50,41360070008,216 STRATFORD ST 3,77006
51,41360070009,216 STRATFORD ST 2,77006
52,41360070010,216 STRATFORD ST 1,77006
53,41370000001,3006 BALDWIN ST,77006
54,41370000002,104 STRATFORD ST,77006
55,41370000003,106 STRATFORD ST,77006
56,41370000004,108 STRATFORD ST,77006
57,41370000005,110 STRATFORD ST,77006
58,41370000006,112 STRATFORD ST,77006
59,41370000012,3010 BALDWIN ST,77006
60,41370000013,3014 BALDWIN ST,77006
61,41370000014,3002 BALDWIN ST,77006
62,41370000015,3018 BALDWIN ST,77006
63,41370000016,3022 BALDWIN ST,77006
64,41380000002,104 AVONDALE ST,77006
65,41380000003,106 AVONDALE ST,77006
66,41390000001,202 AVONDALE ST,77006
67,41390000004,216 AVONDALE ST,77006
68,41390000005,218 AVONDALE ST,77006
69,41390000022,3106 HELENA ST,77006
70,41400000001,302 AVONDALE ST E,77006
71,41400000002,304 AVONDALE ST C,77006
72,41400000004,308 AVONDALE ST,77006
73,41400000013,302 AVONDALE ST A,77006
74,41400000014,302 AVONDALE ST B,77006
75,41400000015,302 AVONDALE ST C,77006
76,41400000016,302 AVONDALE ST D,77006
77,41400000017,304 AVONDALE ST A,77006
78,41400000018,304 AVONDALE ST B,77006
79,41400000019,304 AVONDALE ST D,77006
80,41410000017,235 WESTHEIMER RD,77006
81,41410000025,323 WESTHEIMER RD,77006
82,41410000034,101 WESTHEIMER RD B,77006
83,41410000035,101 WESTHEIMER RD C,77006
84,41410000036,101 WESTHEIMER RD F,77006
85,41410000037,101 WESTHEIMER RD A,77006
86,41410000038,101 WESTHEIMER RD D,77006
87,41410000039,101 WESTHEIMER RD E,77006
88,50060000003,809 ANDREWS ST,77019
89,50110000007,1016 CLEVELAND ST,77019
90,50120000003,1011 ANDREWS ST,77019
91,50120000005,1019 ANDREWS ST,77019
92,50130000004,1111 ANDREWS ST,77019
93,50130000009,1104 RUTHVEN ST,77019
95,50140000008,1108 CLEVELAND ST,77019
