,Address,Latitude,Longitude,Flood Description,Flood Zone
0,"7 W 11TH PL HOUSTON, Texas 77005",29.72516,-95.39241,AREA OF MINIMAL FLOOD HAZARD,X
1,"8 W 11TH PL HOUSTON, Texas 77005",29.72519,-95.3926,AREA OF MINIMAL FLOOD HAZARD,X
2,"6 W 11TH PL HOUSTON, Texas 77005",29.72554,-95.39253,AREA OF MINIMAL FLOOD HAZARD,X
3,"4 W 11TH PL HOUSTON, Texas 77005",29.72573,-95.39252,AREA OF MINIMAL FLOOD HAZARD,X
4,"2 W 11TH PL HOUSTON, Texas 77005",29.72595,-95.39252,AREA OF MINIMAL FLOOD HAZARD,X
5,"6 W 11TH PL A HOUSTON, Texas 77005",29.72554,-95.39253,AREA OF MINIMAL FLOOD HAZARD,X
6,"5227 YOAKUM BLVD HOUSTON, Texas 77005",29.72625,-95.39265,AREA OF MINIMAL FLOOD HAZARD,X
7,"1216 BISSONNET ST HOUSTON, Texas 77005",29.72637,-95.39436,AREA OF MINIMAL FLOOD HAZARD,X
8,"5222 MOUNT VERNON ST HOUSTON, Texas 77005",29.72646,-95.39388,AREA OF MINIMAL FLOOD HAZARD,X
9,"1200 BISSONNET ST HOUSTON, Texas 77005",29.7263,-95.39386,AREA OF MINIMAL FLOOD HAZARD,X
10,"1202 BISSONNET ST HOUSTON, Texas 77005",29.7263,-95.39405,AREA OF MINIMAL FLOOD HAZARD,X
11,"1206 BISSONNET ST HOUSTON, Texas 77005",29.72646,-95.3941,AREA OF MINIMAL FLOOD HAZARD,X
12,"2416 WROXTON RD HOUSTON, Texas 77005",29.72489,-95.41567,AREA OF MINIMAL FLOOD HAZARD,X
13,"2424 WROXTON RD HOUSTON, Texas 77005",29.72489,-95.41598,AREA OF MINIMAL FLOOD HAZARD,X
14,"2430 WROXTON RD HOUSTON, Texas 77005",29.72489,-95.41631,AREA OF MINIMAL FLOOD HAZARD,X
15,"2434 WROXTON RD 6 HOUSTON, Texas 77005",29.72489,-95.41647,AREA OF MINIMAL FLOOD HAZARD,X
16,"4511 KELVIN DR HOUSTON, Texas 77005",29.72489,-95.41663,AREA OF MINIMAL FLOOD HAZARD,X
17,"2435 WROXTON RD HOUSTON, Texas 77005",29.72442,-95.41644,AREA OF MINIMAL FLOOD HAZARD,X
18,"2431 WROXTON RD HOUSTON, Texas 77005",29.72442,-95.41624,AREA OF MINIMAL FLOOD HAZARD,X
19,"2427 WROXTON RD HOUSTON, Texas 77005",29.72442,-95.41609,AREA OF MINIMAL FLOOD HAZARD,X
20,"2421 WROXTON RD HOUSTON, Texas 77005",29.72442,-95.41581,AREA OF MINIMAL FLOOD HAZARD,X
21,"2411 WROXTON RD HOUSTON, Texas 77005",29.7245,-95.4155,AREA OF MINIMAL FLOOD HAZARD,X
22,"2407 WROXTON RD HOUSTON, Texas 77005",29.7245,-95.41535,AREA OF MINIMAL FLOOD HAZARD,X
23,"4616 MORNINGSIDE DR HOUSTON, Texas 77005",29.72408,-95.41518,AREA OF MINIMAL FLOOD HAZARD,X
24,"2406 ALBANS RD HOUSTON, Texas 77005",29.7241,-95.41533,AREA OF MINIMAL FLOOD HAZARD,X
25,"2410 ALBANS RD HOUSTON, Texas 77005",29.7241,-95.41549,AREA OF MINIMAL FLOOD HAZARD,X
26,"2414 ALBANS RD HOUSTON, Texas 77005",29.72411,-95.41565,AREA OF MINIMAL FLOOD HAZARD,X
27,"2418 ALBANS RD HOUSTON, Texas 77005",29.72411,-95.41581,AREA OF MINIMAL FLOOD HAZARD,X
28,"2422 ALBANS RD HOUSTON, Texas 77005",29.72411,-95.41596,AREA OF MINIMAL FLOOD HAZARD,X
29,"2426 ALBANS RD HOUSTON, Texas 77005",29.72409,-95.41612,AREA OF MINIMAL FLOOD HAZARD,X
30,"2430 ALBANS RD HOUSTON, Texas 77005",29.7241,-95.41628,AREA OF MINIMAL FLOOD HAZARD,X
31,"2434 ALBANS RD HOUSTON, Texas 77005",29.7241,-95.41644,AREA OF MINIMAL FLOOD HAZARD,X
32,"2438 ALBANS RD HOUSTON, Texas 77005",29.7241,-95.4166,AREA OF MINIMAL FLOOD HAZARD,X
33,"4620 MORNINGSIDE DR HOUSTON, Texas 77005",29.72397,-95.41518,AREA OF MINIMAL FLOOD HAZARD,X
34,"4618 MORNINGSIDE DR HOUSTON, Texas 77005",29.72403,-95.41518,AREA OF MINIMAL FLOOD HAZARD,X
35,"4614 MORNINGSIDE DR HOUSTON, Texas 77005",29.72414,-95.41518,AREA OF MINIMAL FLOOD HAZARD,X
36,"4612 MORNINGSIDE DR HOUSTON, Texas 77005",29.7242,-95.41518,AREA OF MINIMAL FLOOD HAZARD,X
37,"2433 WROXTON RD HOUSTON, Texas 77005",29.72442,-95.41632,AREA OF MINIMAL FLOOD HAZARD,X
38,"2429 WROXTON RD HOUSTON, Texas 77005",29.72442,-95.41617,AREA OF MINIMAL FLOOD HAZARD,X
39,"2437 NOTTINGHAM ST HOUSTON, Texas 77005",29.72204,-95.41655,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
40,"2433 NOTTINGHAM ST HOUSTON, Texas 77005",29.72204,-95.4164,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
41,"2431 NOTTINGHAM ST HOUSTON, Texas 77005",29.72207,-95.41627,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
42,"2425 NOTTINGHAM ST HOUSTON, Texas 77005",29.72206,-95.41608,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
43,"2421 NOTTINGHAM ST HOUSTON, Texas 77005",29.72206,-95.41593,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
44,"2417 NOTTINGHAM ST HOUSTON, Texas 77005",29.72204,-95.41577,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
45,"2413 NOTTINGHAM ST HOUSTON, Texas 77005",29.72208,-95.41564,AREA OF MINIMAL FLOOD HAZARD,X
46,"2411 NOTTINGHAM ST HOUSTON, Texas 77005",29.72208,-95.41548,AREA OF MINIMAL FLOOD HAZARD,X
47,"2405 NOTTINGHAM ST HOUSTON, Texas 77005",29.72208,-95.41532,AREA OF MINIMAL FLOOD HAZARD,X
48,"2401 NOTTINGHAM ST HOUSTON, Texas 77005",29.72204,-95.41514,AREA OF MINIMAL FLOOD HAZARD,X
49,"2406 QUENBY ST HOUSTON, Texas 77005",29.72171,-95.41529,AREA OF MINIMAL FLOOD HAZARD,X
50,"2418 QUENBY ST B HOUSTON, Texas 77005",29.72176,-95.41577,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
51,"2422 QUENBY ST HOUSTON, Texas 77005",29.72172,-95.41593,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
52,"2434 QUENBY ST HOUSTON, Texas 77005",29.72171,-95.4164,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
53,"4915 KELVIN DR HOUSTON, Texas 77005",29.72183,-95.41655,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
54,"4918 MORNINGSIDE DR HOUSTON, Texas 77005",29.72186,-95.41514,AREA OF MINIMAL FLOOD HAZARD,X
55,"4920 MORNINGSIDE DR HOUSTON, Texas 77005",29.72181,-95.41515,AREA OF MINIMAL FLOOD HAZARD,X
56,"4919 KELVIN DR HOUSTON, Texas 77005",29.72175,-95.41656,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
57,"2436 QUENBY ST HOUSTON, Texas 77005",29.72159,-95.41655,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
58,"4923 KELVIN DR HOUSTON, Texas 77005",29.72168,-95.41655,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
59,"2414 QUENBY ST C HOUSTON, Texas 77005",29.72169,-95.41561,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
60,"2414 QUENBY ST D HOUSTON, Texas 77005",29.72169,-95.41561,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
61,"2414 QUENBY ST A HOUSTON, Texas 77005",29.72169,-95.41561,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
62,"2418 QUENBY ST C HOUSTON, Texas 77005",29.72176,-95.41577,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
63,"2418 QUENBY ST D HOUSTON, Texas 77005",29.72176,-95.41577,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
64,"2418 QUENBY ST A HOUSTON, Texas 77005",29.72176,-95.41577,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
65,"2414 QUENBY ST B HOUSTON, Texas 77005",29.72169,-95.41561,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
66,"2433 QUENBY ST D HOUSTON, Texas 77005",29.72126,-95.41632,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
67,"2418 ROBINHOOD ST HOUSTON, Texas 77005",29.7209,-95.41577,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
68,"2433 QUENBY ST A HOUSTON, Texas 77005",29.72126,-95.41632,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
69,"2433 QUENBY ST B HOUSTON, Texas 77005",29.72126,-95.41632,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
70,"2433 QUENBY ST C HOUSTON, Texas 77005",29.72126,-95.41632,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
71,"2427 ROBINHOOD ST HOUSTON, Texas 77005",29.72042,-95.41596,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
72,"5321 DORA ST HOUSTON, Texas 77005",29.72505,-95.39589,AREA OF MINIMAL FLOOD HAZARD,X
73,"6719 BROMPTON RD HOUSTON, Texas 77005",29.70677,-95.42277,,AE
74,"6713 BROMPTON RD HOUSTON, Texas 77005",29.70693,-95.42277,,AE
75,"2811 CASON ST HOUSTON, Texas 77005",29.70714,-95.42243,,AE
76,"2801 CASON ST HOUSTON, Texas 77005",29.70714,-95.42192,,AE
77,"2803 CASON ST HOUSTON, Texas 77005",29.70714,-95.42214,,AE
78,"2830 W HOLCOMBE BLVD HOUSTON, Texas 77005",29.70648,-95.42277,,AE
79,"6711 BROMPTON RD HOUSTON, Texas 77005",29.70707,-95.42277,,AE
80,"6701 BROMPTON RD HOUSTON, Texas 77005",29.70727,-95.42277,,AE
81,"2912 BELLAIRE BLVD HOUSTON, Texas 77005",29.70656,-95.4236,,AE
82,"6705 BELMONT ST HOUSTON, Texas 77005",29.70724,-95.42424,,AE
83,"2919 CASON ST HOUSTON, Texas 77005",29.70711,-95.42384,,AE
84,"2909 CASON ST HOUSTON, Texas 77005",29.70711,-95.42353,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
85,"2903 CASON ST HOUSTON, Texas 77005",29.70725,-95.42329,,AE
86,"6712 BROMPTON RD HOUSTON, Texas 77005",29.70698,-95.42329,,AE
87,"2921 CASON ST HOUSTON, Texas 77005",29.70711,-95.424,,AE
88,"6711 BELMONT ST HOUSTON, Texas 77005",29.70691,-95.42423,,AE
89,"2913 CASON ST HOUSTON, Texas 77005",29.70711,-95.42368,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
90,"6721 BELMONT ST HOUSTON, Texas 77005",29.7068,-95.42423,,AE
91,"6723 BELMONT ST HOUSTON, Texas 77005",29.70673,-95.42423,,AE
92,"6725 BELMONT ST HOUSTON, Texas 77005",29.70667,-95.42423,,AE
93,"6727 BELMONT ST HOUSTON, Texas 77005",29.70661,-95.42423,,AE
94,"6729 BELMONT ST HOUSTON, Texas 77005",29.70654,-95.42423,,AE
95,"6731 BELMONT ST HOUSTON, Texas 77005",29.70648,-95.42423,,AE
96,"6733 BELMONT ST HOUSTON, Texas 77005",29.70642,-95.42423,,AE
97,"6735 BELMONT ST HOUSTON, Texas 77005",29.70634,-95.42423,,AE
98,"3027 CASON ST HOUSTON, Texas 77005",29.70719,-95.42561,,AE
99,"3021 CASON ST HOUSTON, Texas 77005",29.70723,-95.42531,,AE
100,"3009 CASON ST HOUSTON, Texas 77005",29.70725,-95.425,,AE
101,"6706 BELMONT ST HOUSTON, Texas 77005",29.70715,-95.42475,,AE
102,"6710 BELMONT ST HOUSTON, Texas 77005",29.70693,-95.42481,,AE
103,"3031 CASON ST HOUSTON, Texas 77005",29.70719,-95.42577,,AE
104,"3025 CASON ST HOUSTON, Texas 77005",29.70719,-95.42546,,AE
105,"6717 VANDERBILT ST HOUSTON, Texas 77005",29.70692,-95.42561,,AE
106,"3015 CASON ST HOUSTON, Texas 77005",29.70724,-95.42515,,AE
107,"6702 BELMONT ST HOUSTON, Texas 77005",29.70731,-95.42475,,AE
108,"6733 VANDERBILT ST HOUSTON, Texas 77005",29.70632,-95.42568,,AE
109,"6731 VANDERBILT ST HOUSTON, Texas 77005",29.7064,-95.42568,,AE
110,"6729 VANDERBILT ST HOUSTON, Texas 77005",29.70647,-95.42568,,AE
111,"6727 VANDERBILT ST HOUSTON, Texas 77005",29.70654,-95.42568,,AE
112,"6725 VANDERBILT ST HOUSTON, Texas 77005",29.7066,-95.42568,,AE
113,"6723 VANDERBILT ST HOUSTON, Texas 77005",29.70667,-95.42568,,AE
114,"6721 VANDERBILT ST HOUSTON, Texas 77005",29.70676,-95.42568,,AE
115,"6700 BELMONT ST 5 HOUSTON, Texas 77005",29.70639,-95.42466,,AE
116,"6700 BELMONT ST 9 HOUSTON, Texas 77005",29.70639,-95.42466,,AE
117,"6700 BELMONT ST HOUSTON, Texas 77005",29.70639,-95.42466,,AE
118,"6700 BELMONT ST 2 HOUSTON, Texas 77005",29.70639,-95.42466,,AE
119,"6700 BELMONT ST 3 HOUSTON, Texas 77005",29.70639,-95.42466,,AE
120,"6700 BELMONT ST 4 HOUSTON, Texas 77005",29.70639,-95.42466,,AE
121,"6700 BELMONT ST 6 HOUSTON, Texas 77005",29.70639,-95.42466,,AE
122,"6700 BELMONT ST 7 HOUSTON, Texas 77005",29.70639,-95.42466,,AE
123,"6700 BELMONT ST 8 HOUSTON, Texas 77005",29.70639,-95.42466,,AE
124,"6700 BELMONT ST 10 HOUSTON, Texas 77005",29.70639,-95.42466,,AE
125,"6700 BELMONT ST 11 HOUSTON, Texas 77005",29.70639,-95.42466,,AE
126,"6700 BELMONT ST 12 HOUSTON, Texas 77005",29.70639,-95.42466,,AE
127,"6712 VANDERBILT ST HOUSTON, Texas 77005",29.70696,-95.42621,,AE
128,"6707 BUFFALO SPEEDWAY HOUSTON, Texas 77005",29.70694,-95.42715,,AE
129,"3121 CASON ST HOUSTON, Texas 77005",29.70724,-95.42685,,AE
130,"3117 CASON ST HOUSTON, Texas 77005",29.70725,-95.42662,,AE
131,"3101 CASON ST HOUSTON, Texas 77005",29.70722,-95.42616,,AE
132,"6703 BUFFALO SPEEDWAY HOUSTON, Texas 77005",29.70721,-95.42715,,AE
133,"3107 CASON ST HOUSTON, Texas 77005",29.70709,-95.42644,,AE
134,"6720 VANDERBILT ST 1 HOUSTON, Texas 77005",29.7067,-95.42609,,AE
135,"6722 VANDERBILT ST 2 HOUSTON, Texas 77005",29.70669,-95.42619,,AE
136,"6724 VANDERBILT ST 3 HOUSTON, Texas 77005",29.70669,-95.42627,,AE
137,"6726 VANDERBILT ST 4 HOUSTON, Texas 77005",29.70671,-95.42637,,AE
138,"6728 VANDERBILT ST 5 HOUSTON, Texas 77005",29.70671,-95.42648,,AE
139,"6730 VANDERBILT ST 6 HOUSTON, Texas 77005",29.70671,-95.4266,,AE
140,"6732 VANDERBILT ST 7 HOUSTON, Texas 77005",29.70634,-95.42659,,AE
141,"6734 VANDERBILT ST 8 HOUSTON, Texas 77005",29.70634,-95.42647,,AE
142,"6736 VANDERBILT ST HOUSTON, Texas 77005",29.70635,-95.42637,,AE
143,"6738 VANDERBILT ST 10 HOUSTON, Texas 77005",29.70636,-95.42626,,AE
144,"6740 VANDERBILT ST 11 HOUSTON, Texas 77005",29.70637,-95.42619,,AE
145,"6742 VANDERBILT ST 12 HOUSTON, Texas 77005",29.70636,-95.42609,,AE
146,"3114 CASON ST HOUSTON, Texas 77005",29.70763,-95.42658,,AE
147,"6634 VANDERBILT ST HOUSTON, Texas 77005",29.70797,-95.42637,,AE
148,"6628 VANDERBILT ST HOUSTON, Texas 77005",29.70825,-95.42637,,AE
149,"6624 VANDERBILT ST HOUSTON, Texas 77005",29.70846,-95.42637,,AE
150,"6608 VANDERBILT ST HOUSTON, Texas 77005",29.70873,-95.42638,,AE
151,"3115 CARNEGIE ST HOUSTON, Texas 77005",29.709,-95.4266,,AE
152,"6603 BUFFALO SPEEDWAY HOUSTON, Texas 77005",29.709,-95.42711,,AE
153,"6615 BUFFALO SPEEDWAY HOUSTON, Texas 77005",29.70872,-95.42701,,AE
154,"6621 BUFFALO SPEEDWAY HOUSTON, Texas 77005",29.70838,-95.42701,,AE
155,"6627 BUFFALO SPEEDWAY HOUSTON, Texas 77005",29.70824,-95.427,,AE
156,"6637 BUFFALO SPEEDWAY HOUSTON, Texas 77005",29.70783,-95.42712,,AE
157,"6647 BUFFALO SPEEDWAY HOUSTON, Texas 77005",29.70755,-95.42712,,AE
158,"3104 CASON ST HOUSTON, Texas 77005",29.70763,-95.42616,,AE
159,"3110 CASON ST HOUSTON, Texas 77005",29.70763,-95.42637,,AE
160,"6636 VANDERBILT ST HOUSTON, Texas 77005",29.70784,-95.42636,,AE
161,"6630 VANDERBILT ST HOUSTON, Texas 77005",29.70811,-95.42637,,AE
162,"3111 CARNEGIE ST HOUSTON, Texas 77005",29.70901,-95.42643,,AE
163,"6604 VANDERBILT ST HOUSTON, Texas 77005",29.70901,-95.42621,,AE
164,"3117 CARNEGIE ST HOUSTON, Texas 77005",29.709,-95.42679,,AE
165,"6617 BUFFALO SPEEDWAY HOUSTON, Texas 77005",29.70852,-95.42701,,AE
166,"6629 BUFFALO SPEEDWAY HOUSTON, Texas 77005",29.7081,-95.427,,AE
167,"3120 CASON ST HOUSTON, Texas 77005",29.70776,-95.4268,,AE
168,"6633 BUFFALO SPEEDWAY HOUSTON, Texas 77005",29.70797,-95.42712,,AE
169,"6641 BUFFALO SPEEDWAY HOUSTON, Texas 77005",29.70769,-95.42712,,AE
170,"6644 BELMONT ST HOUSTON, Texas 77005",29.70768,-95.42479,,AE
171,"6630 BELMONT ST HOUSTON, Texas 77005",29.70813,-95.42492,,AE
172,"6620 BELMONT ST HOUSTON, Texas 77005",29.70848,-95.42494,,AE
173,"6616 BELMONT ST HOUSTON, Texas 77005",29.70868,-95.42492,,AE
174,"3015 CARNEGIE ST HOUSTON, Texas 77005",29.70902,-95.42515,,AE
175,"3029 CARNEGIE ST HOUSTON, Texas 77005",29.70902,-95.42554,,AE
176,"6615 VANDERBILT ST HOUSTON, Texas 77005",29.70874,-95.42556,,AE
