,Address,Latitude,Longitude,Flood Description,Flood Zone
0,"6412 COMMUNITY DR, Houston, Texas 77005",29.71266,-95.4471,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
1,"6416 COMMUNITY DR, Houston, Texas 77005",29.71252,-95.4471,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,X
2,"66 MCGOWEN ST, Houston, Texas 77006",29.75,-95.38216,AREA OF MINIMAL FLOOD HAZARD,X
3,"7 BUELL CT, Houston, Texas 77006",29.75198,-95.38686,AREA OF MINIMAL FLOOD HAZARD,X
4,"7 HYDE PARK BLVD 2, Houston, Texas 77006",29.74699,-95.38346,AREA OF MINIMAL FLOOD HAZARD,X
5,"7 HYDE PARK BLVD 3, Houston, Texas 77006",29.74699,-95.38346,AREA OF MINIMAL FLOOD HAZARD,X
6,"7 HYDE PARK BLVD 4, Houston, Texas 77006",29.74699,-95.38346,AREA OF MINIMAL FLOOD HAZARD,X
7,"7 HYDE PARK BLVD 5, Houston, Texas 77006",29.74699,-95.38346,AREA OF MINIMAL FLOOD HAZARD,X
8,"7 HYDE PARK BLVD 6, Houston, Texas 77006",29.74699,-95.38346,AREA OF MINIMAL FLOOD HAZARD,X
9,"7 HYDE PARK BLVD 7, Houston, Texas 77006",29.74699,-95.38346,AREA OF MINIMAL FLOOD HAZARD,X
10,"70 MCGOWEN ST, Houston, Texas 77006",29.74996,-95.3822,AREA OF MINIMAL FLOOD HAZARD,X
11,"701 PEDEN ST, Houston, Texas 77006",29.75234,-95.38907,AREA OF MINIMAL FLOOD HAZARD,X
12,"701 WELCH ST, Houston, Texas 77006",29.75,-95.38905,AREA OF MINIMAL FLOOD HAZARD,X
13,"702 WELCH ST, Houston, Texas 77006",29.75029,-95.38906,AREA OF MINIMAL FLOOD HAZARD,X
14,"703 BOMAR ST, Houston, Texas 77006",29.7513,-95.38906,AREA OF MINIMAL FLOOD HAZARD,X
15,"703 CHELSEA BLVD, Houston, Texas 77006",29.73047,-95.38839,AREA OF MINIMAL FLOOD HAZARD,X
16,"704 HYDE PARK BLVD, Houston, Texas 77006",29.74765,-95.38918,AREA OF MINIMAL FLOOD HAZARD,X
17,"704 WELCH ST, Houston, Texas 77006",29.75038,-95.38905,AREA OF MINIMAL FLOOD HAZARD,X
18,"704 WILLARD ST, Houston, Texas 77006",29.75103,-95.38905,AREA OF MINIMAL FLOOD HAZARD,X
19,"705 CHELSEA BLVD, Houston, Texas 77006",29.73053,-95.38848,AREA OF MINIMAL FLOOD HAZARD,X
20,"705 HYDE PARK BLVD, Houston, Texas 77006",29.74733,-95.38919,AREA OF MINIMAL FLOOD HAZARD,X
21,"705 WELCH ST, Houston, Texas 77006",29.75005,-95.3892,AREA OF MINIMAL FLOOD HAZARD,X
22,"706 HAWTHORNE ST, Houston, Texas 77006",29.74262,-95.38829,AREA OF MINIMAL FLOOD HAZARD,X
23,"706 HAWTHORNE ST A, Houston, Texas 77006",29.74262,-95.38829,AREA OF MINIMAL FLOOD HAZARD,X
24,"706 HAWTHORNE ST B, Houston, Texas 77006",29.74262,-95.38829,AREA OF MINIMAL FLOOD HAZARD,X
25,"706 WELCH ST, Houston, Texas 77006",29.75046,-95.38906,AREA OF MINIMAL FLOOD HAZARD,X
26,"707 CHELSEA BLVD, Houston, Texas 77006",29.73058,-95.38856,AREA OF MINIMAL FLOOD HAZARD,X
27,"707 PEDEN ST, Houston, Texas 77006",29.75239,-95.38926,AREA OF MINIMAL FLOOD HAZARD,X
28,"707 WELCH ST, Houston, Texas 77006",29.74996,-95.38921,AREA OF MINIMAL FLOOD HAZARD,X
29,"708 HYDE PARK BLVD, Houston, Texas 77006",29.74765,-95.38933,AREA OF MINIMAL FLOOD HAZARD,X
30,"708 PEDEN ST, Houston, Texas 77006",29.75277,-95.38922,AREA OF MINIMAL FLOOD HAZARD,X
31,"708 ROSEDALE ST, Houston, Texas 77006",29.73099,-95.38786,AREA OF MINIMAL FLOOD HAZARD,X
32,"708 WELCH ST, Houston, Texas 77006",29.75037,-95.38921,AREA OF MINIMAL FLOOD HAZARD,X
33,"709 BOMAR ST, Houston, Texas 77006",29.7513,-95.38921,AREA OF MINIMAL FLOOD HAZARD,X
34,"709 COLQUITT ST, Houston, Texas 77006",29.73509,-95.38831,AREA OF MINIMAL FLOOD HAZARD,X
35,"709 WELCH ST, Houston, Texas 77006",29.74987,-95.38918,AREA OF MINIMAL FLOOD HAZARD,X
36,"710 HAWTHORNE ST, Houston, Texas 77006",29.74264,-95.38854,AREA OF MINIMAL FLOOD HAZARD,X
37,"710 HAWTHORNE ST C, Houston, Texas 77006",29.74264,-95.38854,AREA OF MINIMAL FLOOD HAZARD,X
38,"710 ROSEDALE ST, Houston, Texas 77006",29.73094,-95.38777,AREA OF MINIMAL FLOOD HAZARD,X
39,"711 COLQUITT ST, Houston, Texas 77006",29.73509,-95.38839,AREA OF MINIMAL FLOOD HAZARD,X
40,"711 HYDE PARK BLVD, Houston, Texas 77006",29.74732,-95.38935,AREA OF MINIMAL FLOOD HAZARD,X
41,"711 PEDEN ST, Houston, Texas 77006",29.75233,-95.38936,AREA OF MINIMAL FLOOD HAZARD,X
42,"711 WELCH ST, Houston, Texas 77006",29.74987,-95.38936,AREA OF MINIMAL FLOOD HAZARD,X
43,"711 WILLARD ST, Houston, Texas 77006",29.75071,-95.38923,AREA OF MINIMAL FLOOD HAZARD,X
44,"712 BOMAR ST, Houston, Texas 77006",29.7517,-95.38938,AREA OF MINIMAL FLOOD HAZARD,X
45,"712 FAIRVIEW AVE, Houston, Texas 77006",29.74833,-95.38934,AREA OF MINIMAL FLOOD HAZARD,X
46,"712 FARGO ST, Houston, Texas 77006",29.749,-95.38934,AREA OF MINIMAL FLOOD HAZARD,X
47,"712 PEDEN ST, Houston, Texas 77006",29.75277,-95.38937,AREA OF MINIMAL FLOOD HAZARD,X
48,"712 ROSEDALE ST, Houston, Texas 77006",29.73089,-95.38769,AREA OF MINIMAL FLOOD HAZARD,X
49,"712 W ALABAMA ST, Houston, Texas 77006",29.73892,-95.38829,AREA OF MINIMAL FLOOD HAZARD,X
50,"712 W DREW ST, Houston, Texas 77006",29.74957,-95.38932,AREA OF MINIMAL FLOOD HAZARD,X
51,"713 BOMAR ST, Houston, Texas 77006",29.75129,-95.38937,AREA OF MINIMAL FLOOD HAZARD,X
52,"713 COLQUITT ST, Houston, Texas 77006",29.73509,-95.38847,AREA OF MINIMAL FLOOD HAZARD,X
53,"713 FARGO ST, Houston, Texas 77006",29.74865,-95.38936,AREA OF MINIMAL FLOOD HAZARD,X
54,"713 WELCH ST, Houston, Texas 77006",29.74996,-95.38936,AREA OF MINIMAL FLOOD HAZARD,X
55,"714 FARGO ST, Houston, Texas 77006",29.74903,-95.38939,AREA OF MINIMAL FLOOD HAZARD,X
56,"714 W ALABAMA ST, Houston, Texas 77006",29.73898,-95.38842,AREA OF MINIMAL FLOOD HAZARD,X
57,"714 WILLARD ST, Houston, Texas 77006",29.75103,-95.38921,AREA OF MINIMAL FLOOD HAZARD,X
58,"715 COLQUITT ST, Houston, Texas 77006",29.73508,-95.38855,AREA OF MINIMAL FLOOD HAZARD,X
59,"715 PEDEN ST, Houston, Texas 77006",29.75233,-95.38951,AREA OF MINIMAL FLOOD HAZARD,X
60,"715 W DREW ST, Houston, Texas 77006",29.74939,-95.38933,AREA OF MINIMAL FLOOD HAZARD,X
61,"715 WELCH ST, Houston, Texas 77006",29.75004,-95.38936,AREA OF MINIMAL FLOOD HAZARD,X
62,"715 WILLARD ST, Houston, Texas 77006",29.7507,-95.38935,AREA OF MINIMAL FLOOD HAZARD,X
63,"716 CHELSEA BLVD, Houston, Texas 77006",29.73012,-95.38851,AREA OF MINIMAL FLOOD HAZARD,X
64,"716 W DREW ST, Houston, Texas 77006",29.74958,-95.3894,AREA OF MINIMAL FLOOD HAZARD,X
65,"716 WILLARD ST, Houston, Texas 77006",29.75103,-95.38937,AREA OF MINIMAL FLOOD HAZARD,X
66,"717 W DREW ST, Houston, Texas 77006",29.74938,-95.3894,AREA OF MINIMAL FLOOD HAZARD,X
67,"717 WELCH ST, Houston, Texas 77006",29.75003,-95.38952,AREA OF MINIMAL FLOOD HAZARD,X
68,"717 WILLARD ST, Houston, Texas 77006",29.75069,-95.38944,AREA OF MINIMAL FLOOD HAZARD,X
69,"718 CHELSEA BLVD, Houston, Texas 77006",29.73009,-95.38834,AREA OF MINIMAL FLOOD HAZARD,X
70,"718 PEDEN ST, Houston, Texas 77006",29.75276,-95.38968,AREA OF MINIMAL FLOOD HAZARD,X
71,"718 RICHMOND ST, Houston, Texas 77006",29.73472,-95.38869,AREA OF MINIMAL FLOOD HAZARD,X
72,"719 BOMAR ST, Houston, Texas 77006",29.75138,-95.38942,AREA OF MINIMAL FLOOD HAZARD,X
73,"719 HAWTHORNE ST, Houston, Texas 77006",29.74225,-95.38871,AREA OF MINIMAL FLOOD HAZARD,X
74,"719 PEDEN ST, Houston, Texas 77006",29.75233,-95.38967,AREA OF MINIMAL FLOOD HAZARD,X
75,"719 W DREW ST, Houston, Texas 77006",29.74938,-95.38947,AREA OF MINIMAL FLOOD HAZARD,X
76,"719 WILLARD ST, Houston, Texas 77006",29.75069,-95.38955,AREA OF MINIMAL FLOOD HAZARD,X
77,"720 BOMAR ST, Houston, Texas 77006",29.75169,-95.38966,AREA OF MINIMAL FLOOD HAZARD,X
78,"721 W DREW ST, Houston, Texas 77006",29.74938,-95.38953,AREA OF MINIMAL FLOOD HAZARD,X
79,"74 MCGOWEN ST, Houston, Texas 77006",29.74991,-95.38223,AREA OF MINIMAL FLOOD HAZARD,X
80,"75 DENNIS ST, Houston, Texas 77006",29.74977,-95.38287,AREA OF MINIMAL FLOOD HAZARD,X
81,"78 MCGOWEN ST, Houston, Texas 77006",29.74987,-95.38227,AREA OF MINIMAL FLOOD HAZARD,X
82,"79 DENNIS ST, Houston, Texas 77006",29.74978,-95.38281,AREA OF MINIMAL FLOOD HAZARD,X
83,"8 COURTLANDT PL, Houston, Texas 77006",29.74396,-95.38316,AREA OF MINIMAL FLOOD HAZARD,X
84,"801 BOMAR ST, Houston, Texas 77006",29.75128,-95.38984,AREA OF MINIMAL FLOOD HAZARD,X
85,"801 WILLARD ST, Houston, Texas 77006",29.75069,-95.38985,AREA OF MINIMAL FLOOD HAZARD,X
86,"802 BOMAR ST, Houston, Texas 77006",29.75168,-95.38994,AREA OF MINIMAL FLOOD HAZARD,X
87,"802 BRANARD ST, Houston, Texas 77006",29.73719,-95.38906,AREA OF MINIMAL FLOOD HAZARD,X
88,"802 DAMON CT, Houston, Texas 77006",29.75208,-95.38993,AREA OF MINIMAL FLOOD HAZARD,X
