,address,zip_code
0,0 CROCKER ST,77019
1,0 HADDON ST,77006
2,0 KINGSTON ST,77019
3,0 OAKLEY ST,77006
4,0 PEDEN ST,77006
5,0 SAINT AGNES ST B,77030
6,1 BUELL CT,77006
7,1 COURTLANDT PL,77006
8,10 COURTLANDT PL,77006
9,100 AVONDALE ST,77006
10,100 AVONDALE ST A,77006
11,1000 BARTLETT ST,77006
12,1001 BARKDULL ST,77006
13,1002 BARKDULL ST,77006
14,1002 BARTLETT ST,77006
15,1002 BOMAR ST,77006
16,1003 BARKDULL ST,77006
17,1003 BOMAR ST,77006
18,1004 BARKDULL ST,77006
19,1004 BARTLETT ST,77006
20,1004 BOMAR ST,77006
21,1005 BARKDULL ST,77006
22,1006 BARTLETT ST,77006
23,1007 BARKDULL ST 4,77006
24,1008 BARKDULL ST,77006
25,1008 BARTLETT ST,77006
26,1009 BARKDULL ST,77006
27,1009 PEDEN ST,77006
28,101 DREW ST,77006
29,101 WESTHEIMER RD A,77006
30,101 WESTHEIMER RD B,77006
31,101 WESTHEIMER RD C,77006
32,101 WESTHEIMER RD D,77006
33,101 WESTHEIMER RD E,77006
34,101 WESTHEIMER RD F,77006
35,1010 BARTLETT ST,77006
36,1011 BARKDULL ST,77006
37,1012 BARKDULL ST,77006
38,1012 BARTLETT ST,77006
39,1012 PEDEN ST,77006
40,1013 BARKDULL ST,77006
41,1013 PEDEN ST,77006
42,1014 BARTLETT ST,77006
43,1014 PEDEN ST,77006
44,1015 BARKDULL ST,77006
45,1015 PEDEN ST A,77006
46,1015 PEDEN ST B,77006
47,1016 BARKDULL ST,77006
48,1016 BARTLETT ST,77006
49,1016 PEDEN ST,77006
50,1017 BARKDULL ST,77006
51,1017 PEDEN ST,77006
52,1018 BARTLETT ST,77006
53,1019 BARKDULL ST,77006
54,102 DREW ST,77006
55,102 OAK PL,77006
56,103 TUAM ST,77006
57,103 WILLARD ST,77006
58,104 OAK PL,77006
59,104 W DREW AVE,77006
60,105 DENNIS ST,77006
61,105 TUAM ST,77006
62,105 WILLARD ST,77006
63,106 DREW ST,77006
64,106 OAK PL A,77006
65,106 OAK PL B,77006
66,106 W DREW ST,77006
67,107 DENNIS ST,77006
68,107 TUAM ST,77006
69,107 WILLARD ST,77006
70,108 OAK PL,77006
71,108 W DREW ST,77006
72,109 DENNIS ST,77006
73,109 FARGO ST,77006
74,109 PACIFIC ST,77006
75,109 WELCH ST,77006
76,11 COURTLANDT PL,77006
77,11 HYDE PARK BLVD A,77006
78,11 HYDE PARK BLVD B,77006
79,11 HYDE PARK BLVD C,77006
80,110 DREW ST,77006
81,110 MCGOWEN ST,77006
82,110 OAK PL,77006
83,1100 RICHMOND AVE,77006
84,1101 BARKDULL ST,77006
85,1101 HAWTHORNE ST,77006
86,1101 MISSOURI ST,77006
87,1102 BARTLETT ST,77006
88,1102 CALIFORNIA ST,77006
89,1103 MISSOURI ST,77006
90,1104 BERTHEA ST,77006
91,1104 CALIFORNIA ST,77006
92,1105 BOMAR ST,77006
93,1105 COLQUITT ST,77006
94,1105 HAWTHORNE ST,77006
95,1105 MISSOURI ST,77006
96,1105 S SHEPHERD DR,77019
97,1105 W WEBSTER ST,77006
98,1106 BOMAR ST,77006
99,1106 CALIFORNIA ST,77006
100,1106 FAIRVIEW AVE,77006
101,1106 JACKSON BLVD,77006
102,1106 JACKSON BLVD B,77006
103,1106 ONEIL ST,77019
104,1107 BOMAR ST,77006
105,1107 COLQUITT ST,77006
106,1107 HAWTHORNE ST,77006
107,1107 JACKSON BLVD,77006
108,1107 JACKSON BLVD D,77006
109,1107 MILFORD ST,77006
110,1107 WILLARD ST,77006
111,1108 BOMAR ST A,77006
112,1108 BOMAR ST B,77006
113,1108 FAIRVIEW AVE,77006
114,1108 HYDE PARK BLVD,77006
115,1108 JACKSON BLVD,77006
116,1109 BERTHEA ST,77006
117,1109 BOMAR ST,77006
118,1109 HAWTHORNE ST,77006
119,1109 HYDE PARK BLVD,77006
120,1109 WILLARD ST,77006
121,111 DENNIS ST,77006
122,111 TUAM ST,77006
123,111 WELCH ST,77006
124,1110 AUTREY ST A,77006
125,1110 AUTREY ST B,77006
126,1110 AUTREY ST C,77006
127,1110 BISSONNET ST,77006
128,1110 BOMAR ST,77006
129,1110 JACKSON BLVD,77006
130,1110 MILFORD ST,77006
131,1110 MISSOURI ST,77006
132,1110 PEDEN ST,77006
133,1110 WILLARD ST,77006
134,1111 BOMAR ST,77006
135,1111 HAWTHORNE ST,77006
136,1111 JACKSON BLVD,77006
137,1111 PEDEN ST A,77006
138,1111 PEDEN ST B,77006
139,1111 WELCH ST,77006
140,1111 WILLARD ST,77006
141,1112 AUTREY ST A,77006
142,1112 AUTREY ST B,77006
143,1112 AUTREY ST C,77006
144,1112 AUTREY ST D,77006
145,1112 BOMAR ST,77006
146,1112 HYDE PARK BLVD,77006
147,1112 JACKSON BLVD,77006
148,1112 MILFORD ST,77006
149,1112 PEDEN ST,77006
150,1112 W DREW ST,77006
151,1112 WELCH ST,77006
152,1112 WILLARD ST,77006
153,1113 BARKDULL ST,77006
154,1113 HAWTHORNE ST,77006
155,1113 JACKSON BLVD,77006
156,1113 MILFORD ST,77006
157,1113 PEDEN ST A,77006
158,1113 PEDEN ST B,77006
159,1113 WELCH ST,77006
160,1113 WILLARD ST,77006
161,1114 AUTREY ST,77006
162,1114 BARKDULL ST,77006
163,1114 BISSONNET ST,77006
164,1114 BOMAR ST,77006
165,1114 DREW ST,77006
166,1114 PEDEN ST,77006
167,1114 WELCH ST,77006
168,1114 WILLARD ST,77006
169,1115 BERTHEA ST,77006
170,1115 BOMAR ST,77006
171,1115 PEDEN ST,77006
172,1115 W DREW ST,77006
173,1115 WELCH ST,77006
174,1115 WILLARD ST,77006
175,1116 AUTREY ST,77006
176,1116 BARKDULL ST,77006
177,1116 BISSONNET ST,77006
178,1116 PEDEN ST,77006
179,1116 W DREW ST,77006
180,1116 WELCH ST,77006
181,1116 WILLARD ST,77006
182,1117 BANKS ST,77006
183,1117 BARKDULL ST,77006
184,1117 BERTHEA ST,77006
185,1117 JACKSON BLVD,77006
186,1117 MILFORD ST,77006
187,1117 PEDEN ST,77006
188,1117 W DREW ST,77006
189,1117 WELCH ST,77006
190,1117 WILLARD ST,77006
191,1118 BARKDULL ST,77006
192,1118 BARTLETT ST,77006
193,1118 JACKSON BLVD,77006
194,1118 MILFORD ST,77006
195,1118 W DREW ST,77006
196,1118 WELCH ST A,77006
197,1118 WELCH ST B,77006
198,1118 WILLARD ST,77006
199,1119 BANKS ST,77006
200,1119 BERTHEA ST,77006
201,1119 JACKSON BLVD,77006
202,1119 WELCH ST,77006
203,1119 WILLARD ST,77006
204,112 MCGOWEN ST,77006
205,112 OAK PL,77006
206,112 WELCH ST A,77006
207,112 WELCH ST B,77006
208,112 WELCH ST C,77006
209,1120 W DREW ST,77006
210,1120 WELCH ST,77006
211,1120 WILLARD ST,77006
212,1121 BANKS ST A,77006
213,1121 BANKS ST B,77006
214,1121 BERTHEA ST,77006
215,1121 BOMAR ST,77006
216,1121 JACKSON BLVD,77006
217,1121 W GRAY ST,77006
218,1121 W WEBSTER ST,77006
219,1121 WELCH ST,77006
220,1121 WILLARD ST,77006
221,1122 BOMAR ST,77006
